#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
13200,-371212.26634755766,301.7170411779942,231.91727108816355
13300,-371592.09020475345,299.30155206471306,231.70323044857605
13400,-372436.6553127616,303.42307766673093,231.44932768606614
13500,-372274.73315225414,302.242713650606,231.52965841926212
13600,-372459.1888403588,300.4302284809578,230.72241805606612
13700,-372527.7012117013,300.7839540289664,230.7512403091129
13800,-372747.4462796262,302.3714259743683,231.03764890486946
13900,-371835.87941046094,301.59835998934346,231.80260584146004
14000,-371427.7964147316,299.46143230890175,231.43437206628505
14100,-372177.61652843695,306.54779303535435,230.73696432726834
14200,-371576.68596185674,300.91496171650823,230.87626139951652
14300,-372071.0343131853,301.09078394415775,230.92813451954913
14400,-372254.894932566,301.1526218257648,230.60255452913555
14500,-372209.48083752504,301.5582394793658,231.32706125835082
14600,-372134.1610944745,300.7815555677753,232.02965936123113
14700,-371572.96056926274,300.70037710304064,231.33515567973387
14800,-371868.1504525267,302.82167352190766,231.1977657506193
14900,-372640.6447264555,301.15865112988007,231.51480240669056
15000,-372521.8749584044,301.9495560609863,230.9289416755409
15100,-372077.159664158,301.7487658000172,231.6804590077842
15200,-372678.5566470341,303.84048991388966,232.1157598680769
15300,-373467.93021725584,304.76955834632804,231.95503692759257
15400,-372358.07212906843,300.69685999801715,232.05007424317137
15500,-372213.5458611782,302.23767953724985,231.28064433985037
15600,-373278.1991934995,301.88513490707953,232.11856094922678
15700,-373004.8307409675,301.2708952795856,232.11856094922678
15800,-373067.42641141743,302.6939303055835,231.48969020955118
15900,-372701.6532322921,297.79774433464473,231.8087854349637
16000,-372429.20564877393,297.3906687468999,231.74339683764327
16100,-373242.1205584761,300.749560895532,230.7853360831496
16200,-372952.020756582,299.5145182269446,230.81443509505843
16300,-372586.66426130076,299.5146825319181,230.5917510309222
16400,-373096.79601334786,301.2046355935761,230.62334846046355
16500,-373380.0431548944,300.80288658197003,231.3093312864447
16600,-372512.4233445322,297.7016034959215,231.3093312864447
16700,-372130.3193299793,297.43257728063924,231.4042243519909
16800,-372899.1064492653,299.3030200089753,231.11331792281717
16900,-373365.39210470906,300.09894896695056,231.11331792281717
17000,-372828.4255550379,299.1717605406611,231.8916070448993
17100,-373016.551881308,300.4162809350421,231.17500379975738
17200,-372022.2438107603,299.29027970021156,231.17500379975738
17300,-371232.01780665474,298.04450509026697,231.85699917065446
17400,-372103.5612226495,299.99061559073687,231.4765198667644
17500,-371635.785062572,301.5751718374925,230.9111013965811
17600,-372073.0820042838,302.6111493150999,230.5578850523887
17700,-371457.12672788685,301.9937602242247,230.5578850523887
17800,-372224.79016334447,299.3674717853634,230.44885859999584
17900,-372281.8152181861,299.37337336497075,230.50642616805692
18000,-372291.27318990737,297.5574929208248,230.37039207978296
18100,-372945.6500511393,299.888148428236,230.37039207978296
18200,-371757.0122632039,300.25044584689743,231.10133040075038
18300,-371767.2459030842,301.06612637780944,231.10133040075038
18400,-371851.6945843731,298.0249356554962,231.10133040075038
18500,-372923.10359766474,304.00641881563536,231.10133040075038
18600,-372162.4738484343,300.5584629919316,231.53270137810264
18700,-371427.6513950048,300.8541541397486,231.56619917031892
18800,-372092.4975627706,300.56506276208034,231.56619917031892
18900,-371801.9008285939,299.8566315513587,231.73743205666497
19000,-372243.39232618676,298.4133481801213,231.6013643915829
19100,-371462.02179225965,298.8737055126125,231.96727674142554
19200,-372061.50843950466,302.30416598515575,231.96727674142554
19300,-371390.3955565298,301.8679587808484,231.9715222850137
19400,-371146.80631512677,301.563441769083,231.98774196024343
19500,-370363.8862709748,300.83747745420357,231.4315734848813
19600,-370300.28737952036,299.75112313706546,231.47317102248968
19700,-371348.0603596623,301.49716889393704,231.13310320969632
19800,-371231.0662882095,298.1607699814877,231.28871849444786
19900,-371876.0162785287,298.82802946686,230.9183792325869
20000,-372017.8283216327,299.30494479188104,230.9183792325869
